station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Robertsbridge,South East,Southeastern,RBR,274328,46854,123262,104212,0,1209
Morley,Yorkshire and The Humber,Northern Trains,MLY,274298,114392,120300,39606,0,1210
Hillington West,Scotland,ScotRail,HLW,274120,109678,100348,64094,0,1211
Fitzwilliam,Yorkshire and The Humber,Northern Trains,FZW,273296,124834,84618,63844,723,1212
Ore,South East,Govia Thameslink Railway (Southern),ORE,272106,74596,99598,97912,0,1213
Wimbledon Chase,London,Govia Thameslink Railway (Thameslink),WBO,271590,111578,103970,56042,0,1214
Ludlow,West Midlands,TfW Rail,LUD,271100,98096,132810,40194,477,1215
Frodsham,North West,TfW Rail,FRD,269138,123640,134680,10818,0,1216
Kenley,London,Govia Thameslink Railway (Southern),KLY,268508,100198,126986,41324,0,1217
Bridge Of Allan,Scotland,ScotRail,BEA,268412,140550,114938,12924,0,1218
Guide Bridge,North West,Northern Trains,GUI,268220,113726,79852,74642,4530,1219
Sheringham,East of England,Greater Anglia,SHM,267898,63778,189050,15070,0,1220
Stepps,Scotland,ScotRail,SPS,267652,100220,136012,31420,0,1221
Starbeck,Yorkshire and The Humber,Northern Trains,SBE,267220,64684,164190,38346,0,1222
Boston,East Midlands,East Midlands Railway,BSN,267184,72532,185026,9626,2,1223
West Sutton,London,Govia Thameslink Railway (Thameslink),WSU,265900,115806,116982,33112,0,1224
Llantwit Major,Wales,TfW Rail,LWM,265804,157602,52418,55784,0,1225
Sutton Common,London,Govia Thameslink Railway (Thameslink),SUC,265722,105388,106428,53906,0,1226
Bramley (Hampshire),South East,Great Western Railway,BMY,264730,61690,149134,53906,0,1227
Clitheroe,North West,Northern Trains,CLH,264536,49098,164674,50764,0,1228
Jordanhill,Scotland,ScotRail,JOR,264422,87324,152510,24588,0,1229
Lanark,Scotland,ScotRail,LNK,263532,94248,143762,25522,0,1230
Hadfield,East Midlands,Northern Trains,HDF,262940,89976,94172,78792,0,1231
Irlam,North West,Northern Trains,IRL,262430,119178,87376,55876,0,1232
Mossley (Manchester),North West,Northern Trains,MSL,260288,121252,75398,63638,0,1233
Leominster,West Midlands,TfW Rail,LEO,260220,78854,135152,46214,17,1234
Ash,South East,South Western Railway,ASH,259336,77176,138136,44024,43911,1235
Meopham,South East,Southeastern,MEP,258728,88428,104532,65768,0,1236
Grangetown (Cardiff),Wales,TfW Rail,GTN,258616,208364,10082,40170,8399,1237
Woodlesford,Yorkshire and The Humber,Northern Trains,WDS,258528,134276,69970,54282,0,1238
Hillfoot,Scotland,ScotRail,HLF,258436,92454,143670,22312,0,1239
Ifield,South East,Govia Thameslink Railway (Southern),IFI,257986,81194,114670,62122,0,1240
Northfleet,South East,Southeastern,NFL,257642,113766,96254,47622,0,1241
Prestonpans,Scotland,ScotRail,PST,257514,127272,109744,20498,0,1242
Eccles (Manchester),North West,Northern Trains,ECC,257328,74260,154084,28984,0,1243
Melton Mowbray,East Midlands,East Midlands Railway,MMO,257134,82708,158528,15898,0,1244
Taffs Well,Wales,TfW Rail,TAF,256722,186426,12874,57422,0,1245
Larkhall,Scotland,ScotRail,LRH,254940,91384,133614,29942,0,1246
Crowborough,South East,Govia Thameslink Railway (Southern),COH,254886,82802,93664,78420,0,1247
Edinburgh Gateway,Scotland,ScotRail,EGY,254676,144818,84154,25704,16732,1248
Bourne End,South East,Great Western Railway,BNE,254624,87010,107228,60386,125661,1249
Welham Green,East of England,Govia Thameslink Railway (Great Northern),WMG,253196,113760,122074,17362,0,1250
Montpelier,South West,Great Western Railway,MTP,252028,179484,61420,11124,0,1251
Kingham,South East,Great Western Railway,KGM,251844,38962,203454,9428,0,1252
Littleport,East of England,Govia Thameslink Railway (Great Northern),LTP,251780,77870,111436,62474,0,1253
North Camp,South East,Great Western Railway,NCM,251252,77534,152236,21482,0,1254
Cromer,East of England,Greater Anglia,CMR,249402,65232,171688,12482,0,1255
Highbridge and Burnham,South West,Great Western Railway,HIG,248906,89162,142470,17274,0,1256
Ebbw Vale Town,Wales,TfW Rail,EBB,248760,186592,22562,39606,0,1257
Stewarton,Scotland,ScotRail,STT,248494,82086,139278,27130,0,1258
Crowthorne,South East,Great Western Railway,CRN,248220,75980,132262,39978,0,1259
Dawlish Warren,South West,Great Western Railway,DWW,248086,69110,170052,8924,0,1260
Gobowen,West Midlands,TfW Rail,GOB,247608,113344,119554,14710,0,1261
Woodsmoor,North West,Northern Trains,WSR,247350,61240,135272,50838,0,1262
Stone (Staffs),West Midlands,West Midlands Trains (West Midlands Railway),SNE,246412,155796,46454,44162,0,1263
Meldreth,East of England,Govia Thameslink Railway (Great Northern),MEL,245846,91396,94120,60330,0,1264
Greenock Central,Scotland,ScotRail,GKC,244898,73578,141992,29328,675,1265
Whifflet,Scotland,ScotRail,WFF,244552,83720,128772,32060,8876,1266
Alderley Edge,North West,Northern Trains,ALD,244220,98266,102870,43084,0,1267
Holmes Chapel,North West,Northern Trains,HCH,243856,80698,130540,32618,0,1268
Tyseley,West Midlands,West Midlands Trains (West Midlands Railway),TYS,243730,97572,75280,70878,10489,1269
Robroyston,Scotland,ScotRail,RRN,243276,89444,126054,27778,0,1270
Effingham Junction,South East,South Western Railway,EFF,243110,96740,113108,33262,13969,1271
Lymington Town,South East,South Western Railway,LYT,242040,56466,158068,27506,0,1272
Lisvane and Thornhill,Wales,TfW Rail,LVT,241176,185794,15452,39930,0,1273
Dore and Totley,Yorkshire and The Humber,Northern Trains,DOR,240254,70988,154870,14396,0,1274
Hindley,North West,Northern Trains,HIN,240130,77714,115354,47062,26115,1275
Chepstow,Wales,TfW Rail,CPW,239434,117030,104014,18390,0,1276
Cam and Dursley,South West,Great Western Railway,CDU,239284,89622,139212,10450,0,1277
Barming,South East,Southeastern,BMG,236990,67056,130234,39700,0,1278
Holyhead,Wales,TfW Rail,HHD,236886,61814,159382,15690,433,1279
Barmouth,Wales,TfW Rail,BRM,236854,99900,102952,34002,0,1280
Shifnal,West Midlands,West Midlands Trains (West Midlands Railway),SFN,236680,91526,100898,44256,0,1281
Coatdyke,Scotland,ScotRail,COA,236050,88688,107202,40160,0,1282
Uckfield,South East,Govia Thameslink Railway (Southern),UCK,235458,66924,117756,50778,0,1283
Slaithwaite,Yorkshire and The Humber,Northern Trains,SWT,235294,101704,96666,36924,0,1284
Ravensbourne,London,Govia Thameslink Railway (Thameslink),RVB,235210,111420,97620,26170,0,1285
Markinch,Scotland,ScotRail,MNC,235210,92920,135736,6554,0,1285
Giffnock,Scotland,ScotRail,GFN,235042,88476,127062,19504,0,1287
Newcraighall,Scotland,ScotRail,NEW,233352,115380,110744,7228,0,1288
Drumry,Scotland,ScotRail,DMY,233208,73310,128506,31392,0,1289
St Denys,South East,South Western Railway,SDN,232936,67442,137208,28286,44971,1290
Chester-Le-Street,North East,Northern Trains,CLS,232324,37926,170728,23670,0,1291
Pencoed,Wales,TfW Rail,PCD,232302,123654,36888,71760,0,1292
Armadale (West Lothian),Scotland,ScotRail,ARM,232232,97670,110292,24270,0,1293
Pinhoe,South West,South Western Railway,PIN,231830,35780,151006,45044,0,1294
Southend Airport,East of England,Stobart Rail,SIA,231806,131960,72616,27230,0,1295
Hamstead (Birmingham),West Midlands,West Midlands Trains (West Midlands Railway),HSD,230862,75058,97740,58064,0,1296
Redland,South West,Great Western Railway,RDA,230370,150904,68432,11034,0,1297
Hillington East,Scotland,ScotRail,HLE,230266,82080,96104,52082,0,1298
Workington,North West,Northern Trains,WKG,229786,43644,164376,21766,0,1299
Dalgety Bay,Scotland,ScotRail,DAG,229602,102460,103894,23248,0,1300
Dronfield,East Midlands,Northern Trains,DRO,229562,77676,127058,24828,0,1301
Parkstone (Dorset),South West,South Western Railway,PKS,229410,61634,150778,16998,0,1302
Woodbridge,East of England,Greater Anglia,WDB,229388,58746,158460,12182,0,1303
Southbourne,South East,Govia Thameslink Railway (Southern),SOB,229080,56036,116832,56212,0,1304
Winchfield,South East,South Western Railway,WNF,229000,70948,94564,63488,0,1305
Pontefract Monkhill,Yorkshire and The Humber,Northern Trains,PFM,228628,114712,84340,29576,9912,1306
Wye,South East,Southeastern,WYE,228560,59594,99862,69104,0,1307
Whyteleafe,South East,Govia Thameslink Railway (Southern),WHY,228198,83604,124852,19742,0,1308
Datchet,South East,South Western Railway,DAT,228122,63780,138842,25500,0,1309
North Walsham,East of England,Greater Anglia,NWA,227692,71090,128698,27904,0,1310
Burnham-On-Crouch,East of England,Greater Anglia,BUU,227510,76064,87896,63550,0,1311
Batley,Yorkshire and The Humber,Northern Trains,BTL,227096,91864,91746,43486,0,1312
Matlock,East Midlands,East Midlands Railway,MAT,227012,63410,156140,7462,0,1313
Bank Hall,North West,Merseyrail,BAH,226404,38310,141830,46264,0,1314
Blackrod,North West,Northern Trains,BLK,226316,44820,96670,84826,0,1315
Bromley North,London,Southeastern,BMN,226164,86156,97504,42504,0,1316
Oakham,East Midlands,East Midlands Railway,OKM,226030,51328,161240,13462,3005,1317
Langside,Scotland,ScotRail,LGS,225812,74310,117246,34256,0,1318
Llanishen,Wales,TfW Rail,LLS,225800,168322,13332,44146,0,1319
Burnside (South Lanarkshire),Scotland,ScotRail,BUI,225114,73142,126856,25116,0,1320
Duke Street,Scotland,ScotRail,DST,224988,83812,117456,23720,0,1321
Porth,Wales,TfW Rail,POR,224524,162928,9962,51634,0,1322
Small Heath,West Midlands,West Midlands Trains (West Midlands Railway),SMA,224446,97702,81756,44988,0,1323
Overpool,North West,Merseyrail,OVE,224060,84864,124652,14544,0,1324
Whitlocks End,West Midlands,West Midlands Trains (West Midlands Railway),WTE,223908,88944,103546,31418,0,1325
Wombwell,Yorkshire and The Humber,Northern Trains,WOM,223542,79572,111208,32762,0,1326
Nantwich,North West,TfW Rail,NAN,223396,105336,99488,18572,0,1327
Elsenham (Essex),East of England,Greater Anglia,ESM,222928,76200,66946,79782,0,1328
Cardonald,Scotland,ScotRail,CDO,222856,85236,101450,36170,0,1329
Par,South West,Great Western Railway,PAR,222704,41936,148384,32384,101405,1330
Bromborough Rake,North West,Merseyrail,BMR,222626,88614,101562,32450,0,1331
Walmer,South East,Southeastern,WAM,222274,41556,116314,64404,0,1332
Ystrad Mynach,Wales,TfW Rail,YSM,222144,167312,9796,45036,0,1333
Shelford (Cambs),East of England,Greater Anglia,SED,221546,75522,96820,49204,0,1334
Reading Green Park,South East,Great Western Railway,RGP,221482,78770,112728,29984,0,1335
Yeovil Junction,South West,South Western Railway,YVJ,221442,24790,187894,8758,20383,1336
Marsden (Yorks),Yorkshire and The Humber,Northern Trains,MSN,220584,94148,97656,28780,0,1337
South Gyle,Scotland,ScotRail,SGL,220542,104050,96794,19698,0,1338
Micklefield,Yorkshire and The Humber,Northern Trains,MIK,220364,66902,102644,50818,2024,1339
Belper,East Midlands,East Midlands Railway,BLP,219184,70226,131978,16980,2601,1340
Ben Rhydding,Yorkshire and The Humber,Northern Trains,BEY,218968,91734,81648,45586,0,1341
Bat and Ball,South East,Southeastern,BBL,218476,49134,97024,72318,0,1342
Atherton,North West,Northern Trains,ATN,218476,71512,109766,37198,0,1342
Hartford (Cheshire),North West,West Midlands Trains (London Northwestern Railway),HTF,218272,77262,127978,13032,0,1344
Garscadden,Scotland,ScotRail,GRS,217630,69026,117968,30636,0,1345
Winnersh Triangle,South East,South Western Railway,WTI,217550,87666,96434,33450,0,1346
Hawkhead,Scotland,ScotRail,HKH,217388,70930,113862,32596,0,1347
Totton,South East,South Western Railway,TTN,216312,70372,115124,30816,0,1348
Croftfoot,Scotland,ScotRail,CFF,215558,66568,116574,32416,0,1349
Winsford,North West,West Midlands Trains (London Northwestern Railway),WSF,215328,72590,132194,10544,0,1350
Greenbank,North West,Northern Trains,GBK,214818,46392,98240,70186,0,1351
Pengam,Wales,TfW Rail,PGM,214248,166026,10866,37356,0,1352
Bramhall,North West,Northern Trains,BML,214228,64430,113634,36164,0,1353
Syston,East Midlands,East Midlands Railway,SYS,213180,134072,34468,44640,0,1354
Balcombe,South East,Govia Thameslink Railway (Southern),BAB,213026,67416,104574,41036,0,1355
Severn Tunnel Junction,Wales,TfW Rail,STJ,212668,170418,26512,15738,33770,1356
Denham,South East,Chiltern Railways,DNM,212456,64876,99322,48258,0,1357
Bookham,South East,South Western Railway,BKA,212440,75416,106868,30156,0,1358
New Mills Newtown,East Midlands,Northern Trains,NMN,212402,37726,116024,58652,0,1359
Eaglescliffe,North East,Northern Trains,EAG,211956,33428,164012,14516,0,1360
Gainsborough Lea Road,East Midlands,East Midlands Railway,GBL,211442,56148,141396,13898,96,1361
Wemyss Bay,Scotland,ScotRail,WMS,211252,90394,113530,7328,0,1362
Baildon,Yorkshire and The Humber,Northern Trains,BLD,210976,58268,41518,111190,0,1363
Witley,South East,South Western Railway,WTY,210956,90564,72598,47794,0,1364
Hampton-In-Arden,West Midlands,West Midlands Trains (West Midlands Railway),HIA,210864,56268,98858,55738,0,1365
Lockerbie,Scotland,ScotRail,LOC,210848,19514,188490,2844,0,1366
Edge Hill,North West,Northern Trains,EDG,209880,74226,95494,40160,7499,1367
Poynton,North West,Northern Trains,PYT,209572,56538,135464,17570,0,1368
Corkerhill,Scotland,ScotRail,CKH,209532,76616,97334,35582,0,1369
Tadworth,South East,Govia Thameslink Railway (Southern),TAD,209262,93678,84758,30826,0,1370
Etchingham,South East,Southeastern,ETC,209228,44862,110540,53826,0,1371
Pewsey,South West,Great Western Railway,PEW,209098,16720,177676,14702,0,1372
Kemsley,South East,Southeastern,KML,208860,88010,54468,66382,0,1373
Wool,South West,South Western Railway,WOO,208834,37640,164314,6880,0,1374
Hykeham,East Midlands,East Midlands Railway,HKM,208754,124078,36836,47840,0,1375
Frinton-on-Sea,East of England,Greater Anglia,FRI,208700,41024,121888,45788,0,1376
Penmere,South West,Great Western Railway,PNM,208582,55294,109002,44286,0,1377
Moorthorpe,Yorkshire and The Humber,Northern Trains,MRP,207902,106436,58596,42870,0,1378
Spalding,East Midlands,East Midlands Railway,SPA,207774,69862,126248,11664,0,1379
Sherborne,South West,South Western Railway,SHE,207354,32882,166760,7712,0,1380
St Helens Junction,North West,Northern Trains,SHJ,206320,55958,117568,32794,0,1381
Burntisland,Scotland,ScotRail,BTS,206194,80762,107652,17780,0,1382
Newport (Essex),East of England,Greater Anglia,NWE,206012,55762,69924,80326,0,1383
Capenhurst,North West,Merseyrail,CPU,206002,76642,108524,20836,0,1384
Coleshill Parkway,West Midlands,West Midlands Trains (West Midlands Railway),CEH,205662,140864,36814,27984,0,1385
Longniddry,Scotland,ScotRail,LND,205200,101908,93972,9320,0,1386
Frimley,South East,South Western Railway,FML,204590,80606,96166,27818,0,1387
Cookham,South East,Great Western Railway,COO,204462,76798,93114,34550,0,1388
Parson Street,South West,Great Western Railway,PSN,204214,92444,95466,16304,0,1389
Ilkeston,East Midlands,East Midlands Railway,ILN,203260,106944,82750,13566,0,1390
Yoker,Scotland,ScotRail,YOK,202332,70054,103636,28642,0,1391
Sandal and Agbrigg,Yorkshire and The Humber,Northern Trains,SNA,202168,100602,60040,41526,0,1392
Normanton,Yorkshire and The Humber,Northern Trains,NOR,202022,96594,68768,36660,0,1393
Oban,Scotland,ScotRail,OBN,201750,78530,71752,51468,0,1394
Rugeley Trent Valley,West Midlands,West Midlands Trains (West Midlands Railway),RGL,201346,41180,135174,24992,65040,1395
Roby,North West,Northern Trains,ROB,201256,52594,100932,47730,0,1396
Whitchurch (Hampshire),South East,South Western Railway,WCH,200976,33144,118442,49390,0,1397
Belmont,London,Govia Thameslink Railway (Southern),BLM,200356,75056,75650,49650,0,1398
Mossley Hill,North West,Northern Trains,MSH,199224,82368,67328,49528,0,1399
Westgate-On-Sea,South East,Southeastern,WGA,199128,45208,85438,68482,0,1400
Rosyth,Scotland,ScotRail,ROS,198140,85774,93074,19292,0,1401
Wymondham,East of England,Greater Anglia,WMD,197704,49454,131846,16404,0,1402
Dalreoch,Scotland,ScotRail,DLR,196628,66818,100172,29638,0,1403
Hall-I'-Th'-Wood,North West,Northern Trains,HID,196486,49530,101888,45068,0,1404
Thornliebank,Scotland,ScotRail,THB,196424,82688,92316,21420,0,1405
Elsecar,Yorkshire and The Humber,Northern Trains,ELR,196124,60388,101718,34018,0,1406
Carnforth,North West,Northern Trains,CNF,196102,28356,133388,34358,16795,1407
Milliken Park,Scotland,ScotRail,MIN,196074,62656,102526,30892,0,1408
Cupar,Scotland,ScotRail,CUP,196056,72598,116812,6646,0,1409
Queenborough,South East,Southeastern,QBR,196028,77832,68240,49956,0,1410
Mytholmroyd,Yorkshire and The Humber,Northern Trains,MYT,195820,79422,81458,34940,0,1411
Runcorn East,North West,TfW Rail,RUE,195576,110698,73702,11176,0,1412
Daisy Hill,North West,Northern Trains,DSY,195254,57170,102262,35822,0,1413
Dunton Green,South East,Southeastern,DNG,195198,42272,111520,41406,0,1414
Ledbury,West Midlands,West Midlands Trains (West Midlands Railway),LED,194606,61032,104502,29072,3,1415
Lydney,South West,TfW Rail,LYD,194028,86472,93064,14492,0,1416
Butlers Lane,West Midlands,West Midlands Trains (West Midlands Railway),BUL,193930,49006,76230,68694,0,1417
Milford (Surrey),South East,South Western Railway,MLF,193900,77230,72274,44396,0,1418
Stonehouse,South West,Great Western Railway,SHU,193140,73782,108228,11130,0,1419
Sundridge Park,London,Southeastern,SUP,193024,86966,83920,22138,0,1420
Hough Green,North West,Northern Trains,HGN,192584,64650,92134,35800,0,1421
Stoke Mandeville,South East,Chiltern Railways,SKM,191900,85156,49298,57446,0,1422
Pannal,Yorkshire and The Humber,Northern Trains,PNL,191634,49154,95564,46916,0,1423
Kings Park,Scotland,ScotRail,KGP,191560,64992,98270,28298,0,1424
Smithy Bridge,North West,Northern Trains,SMB,191406,51102,106614,33690,0,1425
Tisbury,South West,South Western Railway,TIS,191224,40660,125460,25104,0,1426
Abercynon,Wales,TfW Rail,ACY,189820,149282,7362,33176,19118,1427
Polsloe Bridge,South West,Great Western Railway,POL,188694,70978,99052,18664,0,1428
Knockholt,London,Southeastern,KCK,188588,67840,95330,25418,0,1429
Northwich,North West,Northern Trains,NWI,188520,48746,115196,24578,0,1430
Bargoed,Wales,TfW Rail,BGD,188436,138626,8554,41256,0,1431
Uttoxeter,West Midlands,East Midlands Railway,UTT,188406,77036,97206,14164,0,1432
Cumbernauld,Scotland,ScotRail,CUB,187882,78754,87638,21490,3999,1433
Crediton,South West,Great Western Railway,CDI,187194,127152,41284,18758,0,1434
Sellafield,North West,Northern Trains,SEL,187002,80570,26784,79648,168,1435
Millom,North West,Northern Trains,MLM,186654,48764,105322,32568,0,1436
Rainhill,North West,Northern Trains,RNH,186148,71104,82012,33032,0,1437
Aughton Park,North West,Merseyrail,AUG,185634,43660,107866,34108,0,1438
Alexandria,Scotland,ScotRail,ALX,185556,58928,97134,29494,0,1439
Leven,Scotland,ScotRail,LEV,185424,75322,105322,4780,0,1440
East Garforth,Yorkshire and The Humber,Northern Trains,EGF,185360,65412,79928,40020,0,1441
Rugeley Town,West Midlands,West Midlands Trains (West Midlands Railway),RGT,185286,63158,91906,30222,0,1442
Perry Barr,West Midlands,West Midlands Trains (West Midlands Railway),PRY,184662,51552,82356,50754,0,1443
Aylesford,South East,Southeastern,AYL,184616,67830,53800,62986,0,1444
New Hythe,South East,Southeastern,NHE,184448,56018,59052,69378,0,1445
Prudhoe,North East,Northern Trains,PRU,184264,23708,143712,16844,0,1446
Crookston,Scotland,ScotRail,CKT,184128,68948,85060,30120,0,1447
Little Sutton,North West,Merseyrail,LTT,184024,75710,91018,17296,0,1448
Cramlington,North East,Northern Trains,CRM,183856,45442,121962,16452,0,1449
Flowery Field,North West,Northern Trains,FLF,183740,72524,57470,53746,0,1450
Cononley,Yorkshire and The Humber,Northern Trains,CEY,182966,46184,83068,53714,0,1451
Collington,South East,Govia Thameslink Railway (Southern),CLL,182218,58972,94166,29080,0,1452
Teynham,South East,Southeastern,TEY,181476,53258,71446,56772,0,1453
Kenilworth,West Midlands,West Midlands Trains (West Midlands Railway),KNW,181266,68864,100646,11756,0,1454
Gartcosh,Scotland,ScotRail,GRH,180516,69146,86668,24702,0,1455
Woolston,South East,South Western Railway,WLS,180344,64330,84966,31048,0,1456
Ashton-Under-Lyne,North West,Northern Trains,AHN,180238,62190,93422,24626,0,1457
Kendal,North West,Northern Trains,KEN,180094,17992,129416,32686,0,1458
Thorne North,Yorkshire and The Humber,Northern Trains,TNN,178734,29056,124944,24734,484,1459
Furze Platt,South East,Great Western Railway,FZP,178240,61038,69650,47552,0,1460
Crewkerne,South West,South Western Railway,CKN,177884,19844,133664,24376,0,1461
Whiston,North West,Northern Trains,WHN,177588,53962,84524,39102,0,1462
Welshpool,Wales,TfW Rail,WLP,176730,77644,80702,18384,0,1463
Saxmundham,East of England,Greater Anglia,SAX,176536,41810,126460,8266,0,1464
Fort William,Scotland,ScotRail,FTW,176226,80452,95742,32,224,1465
Northolt Park,London,Chiltern Railways,NLT,176218,61808,100440,13970,0,1466
Adwick,Yorkshire and The Humber,Northern Trains,AWK,175978,63988,69338,42652,0,1467
Edenbridge (Kent),South East,Govia Thameslink Railway (Southern),EBR,175966,37904,68920,69142,9145,1468
Bedford St Johns,East of England,West Midlands Trains (London Northwestern Railway),BSJ,175552,31240,113028,31284,0,1469
Treherbert,Wales,TfW Rail,TRB,175190,107498,6160,61532,0,1470
Attleborough,East of England,Greater Anglia,ATL,175046,63888,87292,23866,0,1471
Morecambe,North West,Northern Trains,MCM,174950,25892,129708,19350,0,1472
Overton,South East,South Western Railway,OVR,174202,29860,112548,31794,0,1473
Ashwell and Morden,East of England,Govia Thameslink Railway (Great Northern),AWM,173122,59034,73094,40994,0,1474
Shotts,Scotland,ScotRail,SHS,173044,67204,88352,17488,0,1475
Filey,Yorkshire and The Humber,Northern Trains,FIL,172798,16348,150146,6304,0,1476
Rhoose Cardiff International Airport,Wales,TfW Rail,RIA,172314,105572,33894,32848,0,1477
Bredbury,North West,Northern Trains,BDY,172036,47668,93146,31222,0,1478
Burnage,North West,Northern Trains,BNA,171926,47306,105350,19270,0,1479
Edale,East Midlands,Northern Trains,EDL,171814,38516,132206,1092,0,1480
Avonmouth,South West,Great Western Railway,AVN,171440,115762,12968,42710,0,1481
Newtown (Powys),Wales,TfW Rail,NWT,171366,79192,66188,25986,0,1482
Mexborough,Yorkshire and The Humber,Northern Trains,MEX,170228,41502,100816,27910,0,1483
Aldrington,South East,Govia Thameslink Railway (Southern),AGT,169826,55404,82918,31504,0,1484
Yeovil Pen Mill,South West,Great Western Railway,YVP,169742,44798,120870,4074,21348,1485
Bishop Auckland,North East,Northern Trains,BIA,169032,30676,118184,20172,0,1486
Christs Hospital,South East,Govia Thameslink Railway (Southern),CHH,168878,46060,90314,32504,0,1487
Landywood,West Midlands,West Midlands Trains (West Midlands Railway),LAW,168684,55820,78922,33942,0,1488
Hucknall,East Midlands,East Midlands Railway,HKN,168608,108910,32790,26908,0,1489
Watton-At-Stone,East of England,Govia Thameslink Railway (Great Northern),WAS,168318,61982,72958,33378,0,1490
Dalry,Scotland,ScotRail,DLY,168264,55582,92046,20636,0,1491
Dovercourt,East of England,Greater Anglia,DVC,168182,40676,76072,51434,0,1492
Ardrossan South Beach,Scotland,ScotRail,ASB,167462,56506,95730,15226,258,1493
Priesthill and Darnley,Scotland,ScotRail,PTL,167280,67078,79674,20528,0,1494
Adlington (Lancashire),North West,Northern Trains,ADL,166760,36114,103920,26726,0,1495
Westhoughton,North West,Northern Trains,WHG,166134,66806,54992,44336,0,1496
Burscough Bridge,North West,Northern Trains,BCB,166054,66214,71882,27958,0,1497
Camelon,Scotland,ScotRail,CMO,165762,75332,71808,18622,0,1498
Pevensey and Westham,South East,Govia Thameslink Railway (Southern),PEV,165740,42562,72914,50264,0,1499
Clandon,South East,South Western Railway,CLA,165566,59248,84528,21790,0,1500
Swinton (Manchester),North West,Northern Trains,SNN,165282,48204,86310,30768,0,1501
Holytown,Scotland,ScotRail,HLY,165274,62580,80412,22282,2,1502
South Ruislip,London,London Underground,SRU,165020,64456,84220,16344,0,1503
Seaham,North East,Northern Trains,SEA,164994,25576,123266,16152,0,1504
Horden,North East,Northern Trains,HRE,164582,17116,138998,8468,0,1505
Seamer,Yorkshire and The Humber,TransPennine Express,SEM,164494,24914,129356,10224,39694,1506
Whitchurch (Shropshire),West Midlands,TfW Rail,WTC,164476,64292,87002,13182,0,1507
Craigendoran,Scotland,ScotRail,CGD,163838,35716,63074,65048,0,1508
Alvechurch,West Midlands,West Midlands Trains (West Midlands Railway),ALV,163368,68894,48160,46314,0,1509
Reddish North,North West,Northern Trains,RDN,163300,46342,78164,38794,0,1510
Penistone,Yorkshire and The Humber,Northern Trains,PNS,162898,43752,103874,15272,0,1511
New Mills Central,East Midlands,Northern Trains,NMC,162396,38274,69882,54240,2082,1512
Saltash,South West,Great Western Railway,STS,162224,52418,66696,43110,0,1513
Spring Road,West Midlands,West Midlands Trains (West Midlands Railway),SRI,162146,46974,68402,46770,0,1514
Baillieston,Scotland,ScotRail,BIO,162068,56752,83634,21682,0,1515
Dingle Road,Wales,TfW Rail,DGL,161876,125862,11230,24784,0,1516
Langley Green,West Midlands,West Midlands Trains (West Midlands Railway),LGG,161198,46556,64934,49708,0,1517
Church Fenton,Yorkshire and The Humber,Northern Trains,CHF,159050,20896,107032,31122,8663,1518
Gowerton,Wales,TfW Rail,GWN,158620,54682,82412,21526,0,1519
Salfords (Surrey),South East,Govia Thameslink Railway (Southern),SAF,158338,73404,67706,17228,0,1520
Mortimer,South East,Great Western Railway,MOR,157958,43372,86012,28574,0,1521
Bentley (South Yorkshire),Yorkshire and The Humber,Northern Trains,BYK,157944,46844,72686,38414,0,1522
Kennishead,Scotland,ScotRail,KNS,157902,47042,84808,26052,0,1523
Chandlers Ford,South East,South Western Railway,CFR,157796,46200,91430,20166,0,1524
Brunstane,Scotland,ScotRail,BSU,156782,86508,56478,13796,0,1525
St Helier (London),London,Govia Thameslink Railway (Thameslink),SIH,156764,54274,64830,37660,0,1526
Cardross,Scotland,ScotRail,CDR,156448,32618,62838,60992,0,1527
Knottingley,Yorkshire and The Humber,Northern Trains,KNO,156292,79104,46460,30728,0,1528
Maesteg,Wales,TfW Rail,MST,156162,114238,11914,30010,0,1529
Disley,North West,Northern Trains,DSL,156050,33198,97882,24970,0,1530
Ninian Park,Wales,TfW Rail,NNP,156046,113268,5940,36838,0,1531
Eynsford,South East,Southeastern,EYN,155580,38318,78830,38432,0,1532
Barassie,Scotland,ScotRail,BSS,154888,54682,87572,12634,0,1533
Bescot Stadium,West Midlands,West Midlands Trains (West Midlands Railway),BSC,154824,41320,73954,39550,0,1534
Newcourt,South West,Great Western Railway,NCO,154772,121100,21138,12534,0,1535
Botley,South East,South Western Railway,BOE,154578,41128,88990,24460,0,1536
Grange-Over-Sands,North West,Northern Trains,GOS,154568,18324,119082,17162,0,1537
Hayle,South West,Great Western Railway,HYL,154548,28664,108470,17414,0,1538
Old Hill,West Midlands,West Midlands Trains (West Midlands Railway),OHL,153512,55480,62168,35864,0,1539
Whitby,Yorkshire and The Humber,Northern Trains,WTB,153478,8194,118254,27030,0,1540
Sileby,East Midlands,East Midlands Railway,SIL,153360,73276,49246,30838,0,1541
Newbridge,Wales,TfW Rail,NBE,152740,116656,9914,26170,0,1542
Drem,Scotland,ScotRail,DRM,152528,86396,58934,7198,0,1543
Kingswood,South East,Govia Thameslink Railway (Southern),KND,150156,63406,62806,23944,0,1544
Newtongrange,Scotland,ScotRail,NEG,149962,71258,71304,7400,0,1545
Shenstone,West Midlands,West Midlands Trains (West Midlands Railway),SEN,149888,50346,39348,60194,0,1546
