station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Walthamstow Central,London,London Overground,WHC,4272090,1398986,2439100,434004,0,129
Forest Hill,London,London Overground,FOH,4229240,1392214,2360674,476352,0,130
Hackney Wick,London,London Overground,HKW,4211192,1200304,2635512,375376,1,131
Derby,East Midlands,East Midlands Railway,DBY,4106660,809168,3100272,197220,608101,132
Seven Kings,London,Elizabeth line,SVK,4084206,1248770,2313838,521598,0,133
Hoxton,London,London Overground,HOX,4083552,1201076,2521782,360694,0,134
Maryland,London,Elizabeth line,MYL,4055440,1177240,2266716,611484,0,135
Tonbridge,South East,Southeastern,TON,4048158,863806,1829312,1355040,480924,136
Harrow and Wealdstone,London,London Underground,HRW,3966818,1109318,2388246,469254,496471,137
Haywards Heath,South East,Govia Thameslink Railway (Southern),HHE,3957580,1047716,1948018,961846,383780,138
West Hampstead,London,London Overground,WHD,3944888,1158610,2125616,660662,573653,139
Shadwell,London,London Overground,SDE,3917292,1102056,2333222,482014,0,140
Ashford International,South East,Southeastern,AFK,3791778,756446,2058384,976948,852249,141
Southport,North West,Merseyrail,SOP,3788568,418150,2973798,396620,14712,142
Wandsworth Town,London,South Western Railway,WNT,3786146,1457826,1687142,641178,0,143
Bedford,East of England,Govia Thameslink Railway (Thameslink),BDM,3763978,669818,2423388,670772,52169,144
University (Birmingham),West Midlands,West Midlands Trains (West Midlands Railway),UNI,3755612,1041886,1262012,1451714,0,145
Eastbourne,South East,Govia Thameslink Railway (Southern),EBN,3754614,424862,2260508,1069244,19169,146
Sevenoaks,South East,Southeastern,SEV,3741030,870092,1935218,935720,1264894,147
Brockley,London,London Overground,BCY,3668366,1110032,2164888,393446,0,148
Luton,East of England,Govia Thameslink Railway (Thameslink),LUT,3665966,686656,2616284,363026,73669,149
Haggerston,London,London Overground,HGG,3651250,1216012,2136172,299066,0,150
Colchester,East of England,Greater Anglia,COL,3648216,723036,1863564,1061616,501251,151
Harold Wood,London,Elizabeth line,HRO,3637666,1290426,1967894,379346,0,152
Feltham,London,South Western Railway,FEL,3626102,1180746,1818138,627218,0,153
